prediction,w_ace,winner_name,loser_name,loser_ht,winner_ht,avg_aces_surface,winner_rank,loser_rank,surface
5.361870599595955,4.0,Aaron Krickstein,Michael Stich,193,183,5.5,47,4,Carpet
5.6380988798889895,10.0,Aaron Krickstein,Javier Sanchez,178,183,5.5,36,40,Carpet
3.5380715681201504,4.0,Aaron Krickstein,Boris Becker,190,183,3.5652173913043477,24,3,Clay
3.562290446358653,0.0,Aaron Krickstein,Andrei Chesnokov,188,183,3.5652173913043477,24,31,Clay
3.637029622867975,2.0,Aaron Krickstein,Todd Witsken,183,183,3.5652173913043477,15,88,Clay
9.290809687822644,4.0,Aaron Krickstein,Stefano Pescosolido,185,183,9.222222222222221,57,91,Grass
9.260527818717389,9.0,Aaron Krickstein,Alex Obrien,185,183,9.222222222222221,94,87,Grass
9.466132777823267,2.0,Aaron Krickstein,David Rikl,178,183,9.222222222222221,31,50,Grass
4.8336400668272015,4.0,Aaron Krickstein,Andrei Chesnokov,188,183,4.795180722891566,50,26,Hard
4.63759597966213,3.0,Aaron Krickstein,Jonathan Stark,188,183,4.795180722891566,44,438,Hard
5.003078233886936,2.0,Aaron Krickstein,Goran Prpic,180,183,4.795180722891566,34,18,Hard
4.992396031188361,8.0,Aaron Krickstein,Anders Jarryd,180,183,4.795180722891566,30,47,Hard
4.672261180797826,1.0,Aaron Krickstein,Greg Rusedski,193,183,4.795180722891566,62,141,Hard
4.924727803687602,1.0,Aaron Krickstein,Henrik Holm,183,183,4.795180722891566,57,21,Hard
4.829464088022507,3.0,Aaron Krickstein,Alex Antonitsch,188,183,4.795180722891566,29,72,Hard
4.732565392218976,7.0,Aaron Krickstein,Ellis Ferreira,188,183,4.795180722891566,32,265,Hard
4.8906822769756815,6.0,Aaron Krickstein,Stefano Pescosolido,185,183,4.795180722891566,38,47,Hard
4.834691541276131,4.0,Aaron Krickstein,Alex Antonitsch,188,183,4.795180722891566,23,72,Hard
4.850119167014348,5.0,Aaron Krickstein,Brad Gilbert,185,183,4.795180722891566,24,155,Hard
4.873755077348251,2.0,Aaron Krickstein,Oliver Gross,185,183,4.795180722891566,35,87,Hard
9.298869630280986,7.0,Adam Malik,Robbie Weiss,183,193,10.0,844,132,Carpet
2.603780832501204,7.0,Adrian Garcia,Olivier Mutis,175,175,2.5,114,116,Clay
5.648666235942133,12.0,Adrian Mannarino,Mikhail Kukushkin,183,183,5.625,58,83,Clay
6.202010964877804,6.0,Adrian Mannarino,Pablo Andujar,180,183,6.045454545454546,111,50,Grass
6.213472055704752,9.0,Adrian Mannarino,Jimmy Wang,178,183,6.045454545454546,92,138,Grass
6.155669200217821,10.0,Adrian Mannarino,Pere Riba,183,183,6.045454545454546,81,82,Grass
6.264976821507579,3.0,Adrian Mannarino,Yen Hsun Lu,180,183,6.045454545454546,32,62,Grass
6.238423295905196,3.0,Adrian Mannarino,Aljaz Bedene,181,183,6.045454545454546,34,74,Grass
5.579678029103866,4.0,Adrian Mannarino,Arnaud Clement,173,183,5.310344827586207,80,75,Hard
