prediction,w_ace,winner_name,loser_name,loser_ht,winner_ht,avg_aces,winner_rank,loser_rank,surface
5.89559621060724,6.0,Aaron Krickstein,Thomas Hogstedt,190.0,183.0,4.961240310077519,45,157,Carpet
6.009896003994571,3.0,Aaron Krickstein,Jakob Hlasek,188.0,183.0,4.961240310077519,47,17,Carpet
5.924894247173463,7.0,Aaron Krickstein,Goran Ivanisevic,193.0,183.0,4.961240310077519,47,15,Carpet
5.333142145197732,3.0,Aaron Krickstein,Brett Steven,185.0,183.0,4.961240310077519,78,43,Hard
5.214586175814748,5.0,Aaron Krickstein,Patrick Baur,188.0,183.0,4.961240310077519,78,157,Hard
5.432217842704323,12.0,Aaron Krickstein,Andre Agassi,180.0,183.0,4.961240310077519,78,21,Hard
3.8826245415627647,16.0,Aaron Krickstein,Robbie Weiss,183.0,183.0,4.961240310077519,91,142,Clay
5.636711747853499,2.0,Aaron Krickstein,Jaime Yzaga,170.0,183.0,4.961240310077519,45,30,Hard
7.0797141344969585,12.0,Aaron Krickstein,Christian Bergstrom,180.0,183.0,4.961240310077519,45,148,Grass
1.553589014690516,2.0,Adrian Garcia,Paul Capdeville,190.0,175.0,3.0,232,459,Clay
5.8568362029393555,3.0,Adrian Mannarino,Denis Gremelmayr,183.0,183.0,5.5227272727272725,67,112,Hard
5.9182156215592565,5.0,Adrian Mannarino,Nicolas Almagro,183.0,183.0,5.5227272727272725,62,17,Hard
5.970151611523498,6.0,Adrian Mannarino,Vincent Millot,173.0,183.0,5.5227272727272725,72,203,Hard
5.946537235070725,7.0,Adrian Mannarino,Alexandr Dolgopolov,180.0,183.0,5.5227272727272725,79,24,Hard
7.543100864694804,10.0,Adrian Mannarino,Pere Riba,183.0,183.0,5.5227272727272725,81,82,Grass
5.926297034542353,1.0,Adrian Mannarino,Denis Kudla,180.0,183.0,5.5227272727272725,41,132,Hard
5.647454796576398,9.0,Adrian Mannarino,Sam Querrey,198.0,183.0,5.5227272727272725,64,34,Hard
5.8239088663661285,8.0,Adrian Mannarino,Albert Ramos,188.0,183.0,5.5227272727272725,64,27,Hard
5.388225119318607,4.0,Adrian Voinea,Marco Meneschincheri,180.0,185.0,6.590163934426229,56,313,Clay
7.607034267535353,7.0,Adrian Voinea,Jan Siemerink,183.0,185.0,6.590163934426229,47,23,Carpet
5.453137081505394,4.0,Adrian Voinea,Tomas Carbonell,178.0,185.0,6.590163934426229,100,176,Clay
6.475373366147518,13.0,Adrian Voinea,Bob Bryan,193.0,185.0,6.590163934426229,83,433,Hard
5.084961615427661,10.0,Adrian Voinea,Marc Kevin Goellner,196.0,185.0,6.590163934426229,133,211,Clay
6.5934570310061105,2.0,Adrian Voinea,Mario Ancic,196.0,185.0,6.590163934426229,76,157,Hard
5.15921449790682,4.0,Adrian Voinea,Fernando Verdasco,188.0,185.0,6.590163934426229,65,451,Clay
5.909992104522281,17.0,Agustin Calleri,Emilio Benfele Alvarez,183.0,183.0,7.214285714285714,138,133,Clay
8.040729179354125,3.0,Agustin Calleri,Jose Acasuso,190.0,183.0,7.214285714285714,44,40,Carpet
7.375832425579458,3.0,Agustin Calleri,Taylor Dent,188.0,183.0,7.214285714285714,54,57,Hard
6.255338314147023,6.0,Agustin Calleri,Christophe Rochus,170.0,183.0,7.214285714285714,60,77,Clay
7.468081583486763,2.0,Agustin Calleri,Tim Henman,185.0,183.0,7.214285714285714,41,13,Hard
6.087040952635409,3.0,Agustin Calleri,Mariano Zabaleta,183.0,183.0,7.214285714285714,31,38,Clay
